,monetaryShock,Constant,intervention,UIPdev,exchgrt
1995-08-15,0.11478016272315994,1,0.004899999999999904,-0.025399999999999867,1.5773
1995-09-15,0.016599186275772837,1,-0.04325000000000001,0.0020999999999999908,1.5532
1995-10-15,0.09539794858697981,1,-0.01915,0.0028999999999999027,1.5724
1995-11-15,-0.14191536061084786,1,-0.0020000000000000018,0.07140000000000013,1.5753
1995-12-15,0.014135168563038647,1,-0.02179999999999982,0.1267999999999998,1.5314
1996-01-15,-0.2889765640655657,1,-0.025249999999999995,0.13314999999999988,1.54715
1996-02-15,0.13543108616806698,1,-0.04444999999999988,0.10264999999999991,1.53085
1996-03-15,-0.04333633193903985,1,-0.011550000000000171,0.07315000000000005,1.51985
1996-04-15,0.06247586061465249,1,-0.03584999999999994,0.1136499999999998,1.5113
1996-05-15,0.07421217926987556,1,-0.008299999999999974,0.10224999999999995,1.52255
1996-06-15,0.17329128150897066,1,0.014650000000000052,0.10034999999999994,1.5345
1996-07-15,-0.13297740805357705,1,0.040999999999999925,0.1423000000000001,1.5523
1996-08-15,0.12367167180104044,1,0.029349999999999987,0.02639999999999998,1.5519
1996-09-15,-0.018364696743817355,1,0.02079999999999993,0.053300000000000125,1.5553
1996-10-15,0.11153409925716495,1,0.02299999999999991,0.04564999999999997,1.5753
1996-11-15,0.021223720655945577,1,0.0948,0.05945,1.6467
1996-12-15,0.0006380599833502032,1,0.10289999999999999,-0.006000000000000005,1.6582
1997-01-15,-0.01884078328083838,1,0.10499999999999998,-0.061799999999999855,1.6803
1997-02-15,0.2373774639074533,1,-0.0132000000000001,0.006399999999999961,1.6335
1997-03-15,0.16162294473382843,1,-0.06519999999999992,0.06410000000000005,1.593
1997-04-15,0.034674484112663606,1,-0.05535000000000001,0.049550000000000205,1.62495
1997-05-15,0.10441734870395258,1,-0.00869999999999993,0.009400000000000075,1.6248
1997-06-15,0.0025167106246737347,1,0.04184999999999994,-0.003549999999999942,1.63485
1997-07-15,0.06114519706825838,1,0.06965000000000021,-0.06230000000000002,1.6946
1997-08-15,0.03757918230975488,1,-0.046499999999999986,0.050999999999999934,1.5783
1997-09-15,-0.004305867435092203,1,-0.026249999999999885,0.07525000000000004,1.6086
1997-10-15,0.053891324212256286,1,-0.07365000000000022,0.07255000000000011,1.62095
1997-11-15,0.013166039836877808,1,0.12785000000000002,-0.05315000000000003,1.70615
1997-12-15,0.09346304257178506,1,0.04359999999999986,0.03500000000000014,1.6522
1998-01-15,-0.01702189836860679,1,-0.002449999999999841,0.01200000000000001,1.6185
1998-02-15,0.014080053262068404,1,-0.06625000000000014,-0.010499999999999954,1.6399
1998-03-15,-0.005720139727884543,1,0.0049000000000001265,-0.02310000000000012,1.6571
1998-04-15,0.07158014106954891,1,0.05600000000000005,-0.059700000000000086,1.6745
1998-05-15,0.09950941086854037,1,-0.005699999999999816,-0.015300000000000091,1.6342
1998-06-15,0.015262103231550306,1,-0.025800000000000045,-0.021849999999999925,1.6313
1998-07-15,0.0451939434454216,1,-0.042200000000000015,-0.07630000000000003,1.6323
1998-08-15,-0.008752394556437615,1,-0.0049000000000001265,-0.020000000000000018,1.6293
1998-09-15,-0.4073012516898329,1,0.0525500000000001,-0.060550000000000104,1.68385
1998-10-15,-0.2198581268327091,1,0.06119999999999992,-0.03885000000000005,1.6935
1998-11-15,-0.13184254970446485,1,0.023700000000000054,-0.038999999999999924,1.653
1998-12-15,-0.035890222996958876,1,0.003349999999999964,-0.06455000000000011,1.6872
1999-01-15,0.14239787988956554,1,-0.06299999999999994,0.015700000000000047,1.6305
1999-02-15,0.06631515612679006,1,-0.023600000000000065,-0.03454999999999986,1.6294
1999-03-15,-0.053277857534065554,1,-0.053200000000000136,-0.055399999999999894,1.634
1999-04-15,0.0073648541418949165,1,-0.015700000000000047,-0.02774999999999994,1.6148
1999-05-15,0.03372142377513576,1,-0.010499999999999954,-0.10305000000000009,1.6189
1999-06-15,0.24619874490297367,1,-0.02454999999999985,-0.09715000000000007,1.60945
1999-07-15,0.09376221166418297,1,-0.05879999999999996,-0.041950000000000154,1.556
1999-08-15,0.16696539019317402,1,-0.009600000000000053,-0.10589999999999988,1.6093
1999-09-15,-0.00033127464321669464,1,0.013849999999999918,-0.21699999999999986,1.6233
1999-10-15,0.2387002449209099,1,0.0986499999999999,-0.18609999999999993,1.65465
1999-11-15,-0.09799602847670119,1,0.0047000000000001485,-0.18395000000000006,1.614
1999-12-15,0.16710015412411217,1,-0.0006500000000000394,-0.17435,1.62265
2000-01-15,0.2998755205335346,1,-0.008449999999999847,-0.1673,1.6462
2000-02-15,0.1434654867919587,1,-0.01915,-0.1423000000000001,1.59485
2000-03-15,0.19290459294835127,1,-0.04404999999999992,-0.11254999999999993,1.5786
2000-04-15,0.28269225524494335,1,-0.059150000000000036,-0.14670000000000005,1.58705
2000-05-15,0.2945884103848382,1,-0.07900000000000018,-0.09584999999999999,1.51585
2000-06-15,0.044623759096073634,1,-0.06630000000000003,-0.13345000000000007,1.5123
2000-07-15,-0.00015575182821958578,1,-0.07300000000000018,-0.10799999999999987,1.51405
2000-08-15,0.0645888784722457,1,-0.01244999999999985,-0.0767500000000001,1.5034
2000-09-15,0.027594819294566975,1,-0.10599999999999987,0.056949999999999834,1.4063
2000-10-15,0.043675744405458516,1,-0.045499999999999874,-0.018100000000000005,1.46855
2000-11-15,-0.06567899882276951,1,-0.07335000000000003,0.02675000000000005,1.43005
2000-12-15,-0.37687635089398874,1,0.041999999999999815,-0.0029999999999998916,1.4483
2001-01-15,-0.4563667069321884,1,0.010350000000000081,-0.03590000000000004,1.4789
2001-02-15,-0.1484189550561652,1,0.022499999999999964,-0.02200000000000002,1.45255
2001-03-15,-0.47801813852172437,1,0.017750000000000155,-0.05510000000000015,1.46605
2001-04-15,-0.5675125103414365,1,-0.038550000000000084,-0.003549999999999942,1.44035
2001-05-15,-0.2303500534775771,1,-0.03255000000000008,0.04090000000000016,1.42
2001-06-15,-0.18852360838100868,1,-0.08720000000000017,0.09210000000000007,1.37885
2001-07-15,-0.10462973326342473,1,-0.0343,0.14429999999999987,1.40605
2001-08-15,-0.5679617177004337,1,0.006650000000000045,0.10410000000000008,1.42665
2001-09-15,-0.5821432244609746,1,0.08440000000000003,0.09135000000000004,1.46325
2001-10-15,-0.40231115074098156,1,0.044399999999999995,0.11020000000000008,1.45045
2001-11-15,-0.2804958150023149,1,0.03015000000000012,0.131,1.4568
2001-12-15,-0.10507292930349821,1,-0.01794999999999991,0.13209999999999988,1.4453
2002-01-15,-0.011136580355490588,1,-0.007449999999999957,0.16500000000000004,1.443
2002-02-15,-0.030216561113100227,1,-0.026250000000000107,0.18575000000000008,1.43055
2002-03-15,-0.0038765571524552733,1,-0.0343500000000001,0.20115000000000016,1.41095
2002-04-15,-0.0264000389799961,1,-0.006199999999999983,0.13405,1.4368
2002-05-15,-0.022801576480725894,1,0.0303500000000001,0.14979999999999993,1.4609
2002-06-15,-0.04466370686304555,1,0.06000000000000005,0.1977500000000001,1.47095
2002-07-15,-0.01575122234873061,1,0.11354999999999982,0.08095000000000008,1.55035
2002-08-15,-0.01563005700531961,1,0.06984999999999997,0.07145000000000001,1.53075
2002-09-15,-0.02384456934954926,1,0.08365,0.04994999999999994,1.5546
2002-10-15,-0.4329027981595639,1,0.010300000000000198,0.10599999999999987,1.56065
2002-11-15,-0.1310995372665824,1,0.057050000000000045,0.08844999999999992,1.5878
2002-12-15,-0.030725451393346592,1,0.02279999999999993,0.16870000000000007,1.5774
2003-01-15,-0.015636594752869604,1,0.04735,0.24239999999999995,1.608
2003-02-15,-0.04711981010781452,1,0.02849999999999997,0.27515,1.6163
