,monetaryShock,Constant,intervention
1998-05-15,-0.0009260582340671064,1,-0.005699999999999816
1998-06-15,-0.05131229633716128,1,-0.025800000000000045
1998-07-15,0.013065882677031126,1,-0.042200000000000015
1998-08-15,-0.11486323405328402,1,-0.0049000000000001265
1998-09-15,-0.497271548732499,1,0.0525500000000001
1998-10-15,-0.3348110089761258,1,0.06119999999999992
1998-11-15,-0.24804912439320237,1,0.023700000000000054
1998-12-15,-0.15508024971491796,1,0.003349999999999964
1999-01-15,0.016251777112001875,1,-0.06299999999999994
1999-02-15,-0.07253837119280426,1,-0.023600000000000065
1999-03-15,-0.1783598524738368,1,-0.053200000000000136
1999-04-15,-0.07932081960760407,1,-0.015700000000000047
1999-05-15,-0.1050979502023166,1,-0.010499999999999954
1999-06-15,0.12574539149456054,1,-0.02454999999999985
